OBJECTID,Value,Count
1,10,9188997.000000000000000
2,11,378.000000000000000
3,12,383.000000000000000
4,13,385.000000000000000
5,14,441.000000000000000
6,15,392.000000000000000
7,16,407.000000000000000
8,17,340.000000000000000
9,18,321.000000000000000
10,19,266.000000000000000
11,20,8558641.000000000000000
12,21,77.000000000000000
13,22,116.000000000000000
14,23,97.000000000000000
15,24,120.000000000000000
16,25,74.000000000000000
17,26,72.000000000000000
18,27,49.000000000000000
19,28,70.000000000000000
20,29,70.000000000000000
21,30,435323.000000000000000
22,31,6.000000000000000
23,32,9.000000000000000
27,36,5.000000000000000
29,38,4.000000000000000
31,40,5293.000000000000000
33,44,11.000000000000000
34,45,12.000000000000000
36,48,5.000000000000000
37,50,5797.000000000000000
39,52,15.000000000000000
43,56,8.000000000000000
47,60,174640.000000000000000
48,62,3.000000000000000
50,65,1.000000000000000
51,66,1.000000000000000
52,68,2.000000000000000
54,70,2.000000000000000
55,72,1.000000000000000
56,73,1.000000000000000
57,74,3.000000000000000
58,75,2.000000000000000
59,76,3.000000000000000
61,80,72368.000000000000000
