OBJECTID,Value,Count
1,10,13056972.000000000000000
2,11,123.000000000000000
3,12,188.000000000000000
4,13,116.000000000000000
5,14,179.000000000000000
6,15,132.000000000000000
7,16,177.000000000000000
8,17,85.000000000000000
9,18,149.000000000000000
10,19,99.000000000000000
11,20,38904710.000000000000000
12,21,614.000000000000000
13,22,731.000000000000000
14,23,531.000000000000000
15,24,752.000000000000000
16,25,537.000000000000000
17,26,722.000000000000000
18,27,566.000000000000000
19,28,744.000000000000000
20,29,593.000000000000000
21,30,10783546.000000000000000
22,31,36.000000000000000
23,32,156.000000000000000
24,33,33.000000000000000
25,34,145.000000000000000
26,35,23.000000000000000
27,36,149.000000000000000
28,37,34.000000000000000
29,38,161.000000000000000
30,39,63.000000000000000
31,40,3361356.000000000000000
32,42,14.000000000000000
33,44,22.000000000000000
34,45,15.000000000000000
35,46,1.000000000000000
36,48,22.000000000000000
37,50,16565.000000000000000
38,51,8.000000000000000
39,52,24.000000000000000
41,54,24.000000000000000
42,55,1.000000000000000
43,56,11.000000000000000
44,57,13.000000000000000
45,58,9.000000000000000
47,60,293990.000000000000000
48,62,3.000000000000000
49,64,1.000000000000000
52,68,23.000000000000000
53,69,2.000000000000000
55,72,2.000000000000000
59,76,29.000000000000000
61,80,191706.000000000000000
62,83,1.000000000000000
63,84,31.000000000000000
65,90,225302.000000000000000
66,92,37.000000000000000
68,94,2.000000000000000
69,100,59852.000000000000000
