OBJECTID,Value,Count
1,10,1644938.000000000000000
2,11,27.000000000000000
3,12,72.000000000000000
4,13,50.000000000000000
5,14,64.000000000000000
6,15,40.000000000000000
7,16,65.000000000000000
8,17,72.000000000000000
9,18,74.000000000000000
10,19,28.000000000000000
11,20,51945505.000000000000000
12,21,2585.000000000000000
13,22,2813.000000000000000
14,23,2671.000000000000000
15,24,2843.000000000000000
16,25,2618.000000000000000
17,26,2782.000000000000000
18,27,2673.000000000000000
19,28,2795.000000000000000
20,29,2603.000000000000000
21,30,100112505.000000000000000
22,31,55.000000000000000
23,32,128.000000000000000
24,33,52.000000000000000
25,34,117.000000000000000
26,35,52.000000000000000
27,36,132.000000000000000
28,37,63.000000000000000
29,38,157.000000000000000
30,39,48.000000000000000
31,40,6197117.000000000000000
32,42,9.000000000000000
33,44,40.000000000000000
34,45,54.000000000000000
35,46,3.000000000000000
36,48,31.000000000000000
37,50,200101.000000000000000
38,51,56.000000000000000
39,52,21.000000000000000
40,53,2.000000000000000
41,54,16.000000000000000
42,55,38.000000000000000
43,56,11.000000000000000
44,57,11.000000000000000
45,58,40.000000000000000
46,59,10.000000000000000
47,60,478420.000000000000000
50,65,64.000000000000000
51,66,9.000000000000000
52,68,4.000000000000000
54,70,26.000000000000000
55,72,23.000000000000000
56,73,10.000000000000000
58,75,25.000000000000000
59,76,4.000000000000000
60,79,21.000000000000000
61,80,83736.000000000000000
63,84,5.000000000000000
64,86,21.000000000000000
65,90,2678525.000000000000000
66,92,7.000000000000000
67,93,14.000000000000000
69,100,1859852.000000000000000
