OBJECTID,Value,Count
1,10,1813006.000000000000000
2,11,33.000000000000000
3,12,70.000000000000000
4,13,40.000000000000000
5,14,85.000000000000000
6,15,51.000000000000000
7,16,67.000000000000000
8,17,24.000000000000000
9,18,57.000000000000000
10,19,31.000000000000000
11,20,4690141.000000000000000
12,21,70.000000000000000
13,22,84.000000000000000
14,23,63.000000000000000
15,24,109.000000000000000
16,25,84.000000000000000
17,26,95.000000000000000
18,27,96.000000000000000
19,28,93.000000000000000
20,29,78.000000000000000
21,30,1182351.000000000000000
22,31,5.000000000000000
23,32,3.000000000000000
24,33,2.000000000000000
25,34,5.000000000000000
26,35,4.000000000000000
27,36,6.000000000000000
28,37,4.000000000000000
29,38,12.000000000000000
31,40,384402.000000000000000
33,44,1.000000000000000
34,45,13.000000000000000
35,46,2.000000000000000
36,48,1.000000000000000
37,50,542.000000000000000
39,52,8.000000000000000
41,54,2.000000000000000
42,55,6.000000000000000
43,56,2.000000000000000
45,58,3.000000000000000
46,59,2.000000000000000
47,60,110769.000000000000000
50,65,2.000000000000000
51,66,2.000000000000000
56,73,2.000000000000000
61,80,86192.000000000000000
65,90,3780.000000000000000
