OBJECTID,Value,Count
1,10,2593967.000000000000000
2,11,2.000000000000000
3,12,1.000000000000000
4,13,1.000000000000000
5,14,3.000000000000000
6,15,1.000000000000000
7,16,2.000000000000000
8,17,1.000000000000000
9,18,2.000000000000000
10,19,3.000000000000000
11,20,12870208.000000000000000
12,21,8.000000000000000
13,22,34.000000000000000
14,23,3.000000000000000
15,24,26.000000000000000
16,25,7.000000000000000
17,26,33.000000000000000
18,27,7.000000000000000
19,28,25.000000000000000
20,29,9.000000000000000
21,30,946106.000000000000000
22,31,6.000000000000000
23,32,21.000000000000000
24,33,4.000000000000000
25,34,19.000000000000000
26,35,6.000000000000000
27,36,37.000000000000000
28,37,9.000000000000000
29,38,29.000000000000000
30,39,4.000000000000000
31,40,184879.000000000000000
36,48,1.000000000000000
37,50,8160.000000000000000
39,52,2.000000000000000
44,57,1.000000000000000
47,60,71576.000000000000000
61,80,54063.000000000000000
63,84,2.000000000000000
64,86,1.000000000000000
66,92,2.000000000000000
69,100,20456.000000000000000
